ubigeo,n_facilities,mean,max,emergencias_total
CHICLA,3.0,8713.487266437063,8724.393445773494,
CHICLAYO,17.0,9248.753741504468,9250.06952394857,
CHIGUATA,2.0,8234.272606788336,8243.954375803025,
CHIGUIRIP,6.0,9289.484344510303,9292.127380952697,
CHILCA,9.0,8635.062643831032,8681.552322424104,
CHILCAS,2.0,8566.495333487803,8571.287005358528,
CHILCAYMARCA,2.0,8342.166895580385,8348.869092182114,
CHILCAYOC,1.0,8487.973444235253,8489.271593290861,
CHILETE,2.0,9196.756080576804,9200.87763062434,
CHILIQUIN,4.0,9329.378834195863,9336.635744067105,
CHILLIA,5.0,9100.348890220772,9109.93024898448,
CHIMBAN,4.0,9305.787234847112,9310.378570235976,
CHIMBOTE,20.0,9010.50010508671,9037.463548221835,
CHINCHA ALTA,4.0,8524.382338017547,8526.735954859514,
CHINCHA BAJA,3.0,8515.91277469139,8522.167191246324,
CHINCHAO,4.0,8937.843811656667,8957.850748436811,
CHINCHAYPUJIO,2.0,8530.574660316948,8537.93274998023,
CHINCHERO,2.0,8554.573798008792,8558.705370762182,
CHINCHEROS,6.0,8527.401574538964,8530.634650260723,
CHINCHIHUAS,,8634.645508810336,8646.486392834897,
CHINCHIHUASI,4.0,8636.493390447447,8650.141592533722,
CHINCHO,2.0,8582.590812708448,8591.963359026033,
CHINGALPO,2.0,9076.850067328782,9082.415308157228,
CHINGAS,1.0,8994.127517917412,8996.11689033171,
CHIPAO,4.0,8426.288971417087,8444.142973151136,
CHIPURANA,3.0,9305.077117391238,9310.559809209644,
CHIQUIAN,2.0,8880.473525936379,8888.92315323653,
CHIRIMOTO,5.0,9277.905719621502,9286.386870595616,
CHIRINOS,8.0,9412.060603477981,9423.910321425537,
CHISQUILLA,1.0,9350.83040805122,9357.779265431942,
CHIVAY,3.0,8313.685546924262,8325.973470726809,
CHOCHOPE,1.0,9317.942207131147,9319.767459136616,
CHOCOPE,3.0,9158.137166939981,9317.268721479644,
CHOCOS,1.0,8582.147810724162,8589.141041966534,
CHOJATA,2.0,8233.920100738267,8243.698066304687,
CHOLON,5.0,9046.693974275067,9073.884685336354,
CHONGOS ALTO,1.0,8638.377906929129,8652.341682066814,
CHONGOS BAJO,2.0,8666.32276353859,8672.78752179588,
CHONGOS BAJOS,,8663.49734434624,8669.291495156414,
CHONGOYAPE,3.0,9261.802229237426,9273.275646579314,
CHONTABAMBA,6.0,8833.42288355566,8842.73158924502,
CHONTALI,4.0,,,
CHONTALÍ,,9373.709728710115,9388.01610749636,
CHORAS,2.0,8910.825834646284,8913.87080357912,
CHOROPAMPA,4.0,9293.363189216332,9303.835616779856,
